"orderIndex","disclosure-requirement nr.","disclosure-requirement name","datapoint nr.","sub-number","description","parent description","datapoint title","sub-title","entered data","unit","explanation","reportability","obligation","dataAvailability","status","reviewResult","explanationReview","hasDocuments","editor","reviewer"
303,"E1-7","Entnahme von Treibhausgasen und Projekte zur Verringerung von Treibhausgasen, finanziert über CO2-Zertifikate","56","56a","Das Unternehmen hat Folgendes anzugeben:
Den gegebenenfalls erzielten Abbau und die Speicherung von Treibhausgasen im Rahmen von Projekten, die es innerhalb seiner eigenen Tätigkeiten entwickelt hat oder zu denen es innerhalb seiner vor- und nachgelagerten Wertschöpfungskette beigetragen hat, in Tonnen CO2-Äquivalent.","Angaben darüber, ob und wie das Unternehmen Treibhausgase abbaut und speichert, einschließlich Projekten innerhalb und außerhalb der Wertschöpfungskette.","Angaben zu Treibhausgasentnahme und -speicherung","Wie viel CO2 wurde innerhalb der Wertschöpfungskette gespeichert oder entnommen?","Fröbel betreibt keine eigenen Projekte zur CO₂-Entnahme oder CO₂-Speicherung (z. B. Aufforstungsprojekte, CCS/BECCS-Anlagen oder Boden-/Biomasse-Senken) innerhalb der eigenen Wertschöpfungskette. Daher liegt der Wert bei 0 t CO₂e.","","Fröbel verfolgt eine Reduktions- vor Kompensationsstrategie. Es bestehen weder CO₂-Entnahme- oder Speicherprojekte innerhalb der Wertschöpfungskette noch wurden externe Kompensationsprojekte genutzt. Der Fokus liegt auf der tatsächlichen Emissionsminderung entlang der eigenen Betriebsprozesse (Energie, Mobilität, Verpflegung). Perspektivisch wird die Nutzung hochwertiger, verifizierter Kompensationsmaßnahmen für unvermeidbare Restemissionen in der Langfriststrategie (Netto-Null bis 2040) eine Rolle spielen.","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen. Die Darstellung entspricht dem aktuellen Umsetzungsstand. Ggf. können perspektivisch Projekte wie ""Tiny Forest"" (meist innerstädtische Aufforstungsprojekte) mit aufgenommen werden.","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
304,"E1-7","Entnahme von Treibhausgasen und Projekte zur Verringerung von Treibhausgasen, finanziert über CO2-Zertifikate","56","56b","Das Unternehmen hat Folgendes anzugeben:
Den Umfang der Reduktion oder der Entnahme der Treibhausgasemissionen durch Klimaschutzprojekte außerhalb seiner Wertschöpfungskette, die es mit dem Erwerb von CO2-Zertifikate finanziert hat oder zu finanzieren beabsichtigt.","Angaben darüber, ob und wie das Unternehmen Treibhausgase abbaut und speichert, einschließlich Projekten innerhalb und außerhalb der Wertschöpfungskette.","Angaben zu Treibhausgasentnahme und -speicherung","Wie viel CO2 wurde durch externe Klimaschutzprojekte reduziert?","Fröbel hat im Berichtsjahr keine Klimaschutzprojekte außerhalb der Wertschöpfungskette finanziert und keine CO₂-Zertifikate zur Kompensation von Emissionen eingesetzt. Der Wert beträgt daher 0 t CO₂e.","","Fröbel verfolgt eine Reduktions- vor Kompensationsstrategie. Es bestehen weder CO₂-Entnahme- oder Speicherprojekte innerhalb der Wertschöpfungskette noch wurden externe Kompensationsprojekte genutzt. Der Fokus liegt auf der tatsächlichen Emissionsminderung entlang der eigenen Betriebsprozesse (Energie, Mobilität, Verpflegung). Perspektivisch wird die Nutzung hochwertiger, verifizierter Kompensationsmaßnahmen für unvermeidbare Restemissionen in der Langfriststrategie (Netto-Null bis 2040) eine Rolle spielen.","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen. Die Darstellung entspricht dem aktuellen Umsetzungsstand. Ggf. können perspektivisch Projekte wie ""Tiny Forest"" (meist innerstädtische Aufforstungsprojekte) mit aufgenommen werden.","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
305,"E1-7","Entnahme von Treibhausgasen und Projekte zur Verringerung von Treibhausgasen, finanziert über CO2-Zertifikate","AR 57","AR 57a","Bei der Angabe der gemäß Absatz 56 Buchstabe a und Absatz 58 erforderlichen Informationen über den Abbau und die Speicherung von Treibhausgasen im Rahmen seiner eigenen Tätigkeiten und innerhalb seiner vor- und nachgelagerten Wertschöpfungskette muss das Unternehmen in Bezug auf jede Abbau- und Speicheraktivität
a) die betreffenden Treibhausgase nennen","Geben Sie Informationen zu Aktivitäten zum Abbau und zur Speicherung von Treibhausgasen innerhalb der eigenen Tätigkeiten des Unternehmens sowie in der vor- und nachgelagerten Wertschöpfungskette an. Nennen Sie die betreffenden Treibhausgase und erläutern Sie, ob der Abbau und die Speicherung biogen sind, durch Landnutzungsänderungen wie Aufforstung, Wiederaufforstung, Wiederherstellung von Wäldern, städtische Baumpflanzung, Agroforstwirtschaft oder Kohlenstoffbindung im Boden erfolgen oder ob sie auf technologischen Lösungen wie der direkten Abscheidung aus der Luft basieren. Falls es sich um einen hybriden Ansatz handelt, wie beispielsweise Bioenergie mit CO2-Abscheidung und -Speicherung, geben Sie technische Details zur Abbaumethode, zur Art der Speicherung und gegebenenfalls zum Transport der abgebauten Treibhausgase an.","Offenlegung von Aktivitäten zum Abbau und zur Speicherung von Treibhausgasen","Zusammenstellung von Informationen über Entnahme und Speicherung von Treibhausgasen","Hat Ihr Unternehmen Aktivitäten zum Abbau und zur Speicherung von Treibhausgasen?: No","","Da Fröbel derzeit keine Aktivitäten zur CO₂-Entnahme oder -Speicherung betreibt, entfallen die Detailanforderungen gemäß AR 57a–b.","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen. Die Darstellung entspricht dem aktuellen Umsetzungsstand. Ggf. können perspektivisch Projekte wie ""Tiny Forest"" (meist innerstädtische Aufforstungsprojekte) mit aufgenommen werden.","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
306,"E1-7","Entnahme von Treibhausgasen und Projekte zur Verringerung von Treibhausgasen, finanziert über CO2-Zertifikate","AR 57","AR 57b","Bei der Angabe der gemäß Absatz 56 Buchstabe a und Absatz 58 erforderlichen Informationen über den Abbau und die Speicherung von Treibhausgasen im Rahmen seiner eigenen Tätigkeiten und innerhalb seiner vor- und nachgelagerten Wertschöpfungskette muss das Unternehmen in Bezug auf jede Abbau- und Speicheraktivität
b) erläutern, ob der Abbau und die Speicherung biogen sind oder durch Landnutzungsänderungen (z. B. Aufforstung, Wiederaufforstung, Wiederherstellung von Wäldern, städtische Baumpflanzung, Agroforst­ wirtschaft, Kohlenstoffbindung im Boden usw.) erfolgen, ob sie technologisch (z. B. direkte Abscheidung aus der Luft) oder hybrid sind (z. B. Bioenergie mit CO2-Abscheidung und -Speicherung), einschließlich technischer Details zum Abbau, zur Art der Speicherung und gegebenenfalls zum Transport abgebauter Treibhausgase","Geben Sie Informationen zu Aktivitäten zum Abbau und zur Speicherung von Treibhausgasen innerhalb der eigenen Tätigkeiten des Unternehmens sowie in der vor- und nachgelagerten Wertschöpfungskette an. Nennen Sie die betreffenden Treibhausgase und erläutern Sie, ob der Abbau und die Speicherung biogen sind, durch Landnutzungsänderungen wie Aufforstung, Wiederaufforstung, Wiederherstellung von Wäldern, städtische Baumpflanzung, Agroforstwirtschaft oder Kohlenstoffbindung im Boden erfolgen oder ob sie auf technologischen Lösungen wie der direkten Abscheidung aus der Luft basieren. Falls es sich um einen hybriden Ansatz handelt, wie beispielsweise Bioenergie mit CO2-Abscheidung und -Speicherung, geben Sie technische Details zur Abbaumethode, zur Art der Speicherung und gegebenenfalls zum Transport der abgebauten Treibhausgase an.","Offenlegung von Aktivitäten zum Abbau und zur Speicherung von Treibhausgasen","Erläutern Sie die Art des Abbaus und der Speicherung von Treibhausgasen","Fröbel führt derzeit keine Aktivitäten zum Abbau oder zur Speicherung von Treibhausgasen durch.","","Da Fröbel derzeit keine Aktivitäten zur CO₂-Entnahme oder -Speicherung betreibt, entfallen die Detailanforderungen gemäß AR 57a–b.","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen. Die Darstellung entspricht dem aktuellen Umsetzungsstand. Ggf. können perspektivisch Projekte wie ""Tiny Forest"" (meist innerstädtische Aufforstungsprojekte) mit aufgenommen werden.","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
307,"E1-7","Entnahme von Treibhausgasen und Projekte zur Verringerung von Treibhausgasen, finanziert über CO2-Zertifikate","58","58a","Die Angabe in Bezug auf die Entnahme und die Speicherung von Treibhausgasen gemäß Absatz 56 Buchstabe a umfasst gegebenenfalls Folgendes:
Die Angabe in Bezug auf die Entnahme und die Speicherung von Treibhausgasen gemäß Absatz 56 Buchstabe a umfasst gegebenenfalls Folgendes:
Die Gesamtmenge der entnommenen und gespeicherten Treibhausgase in Tonnen CO2-Äquivalent, aufgeschlüsselt und getrennt nach den Mengen im Zusammenhang mit den eigenen Tätigkeiten des Unternehmens und mit seiner vor- und nachgelagerten Wertschöpfungskette sowie nach Entnahmeaktivitäten","Angaben über die Gesamtmenge der entnommenen und gespeicherten Treibhausgase, aufgeschlüsselt nach eigenen Tätigkeiten und der Wertschöpfungskette.","Angaben zur Entnahme und Speicherung von Treibhausgasen","Wie viel CO2 wurde insgesamt entnommen und gespeichert, aufgeschlüsselt nach Wertschöpfungskette?","#1
Gesamtmenge der Treibhausgase: 0 tCO₂e
--------------------
Tätigkeit: Keine CO₂-Entnahmeaktivitäten im Unternehmen 
--------------------
Wertschöpfungskette: Keine Entnahme- oder Speicherprojekte in der vor- oder nachgelagerten Wertschöpfungskette 
--------------------
Entnahmeaktivität: entfällt (keine Aktivitäten vorhanden) ","","Fröbel betreibt weder innerhalb der eigenen Geschäftstätigkeit noch innerhalb der Wertschöpfungskette Projekte zur CO₂-Entnahme oder -Speicherung (z. B. Aufforstung, Bäume als Senkenprojekte, BECCS oder CCS-Technologien). Daher ergeben sich gemäß ESRS E1-58 keine bilanziellen CO₂-Entnahmemengen. Die Angaben nach 58a und 58b werden als ordnungsgemäße Nullmeldung ausgewiesen. Der Fokus der Klimastrategie liegt auf der realen Reduktion von Emissionen entlang der eigenen Betriebsaktivitäten; eine Kompensation unvermeidbarer Restemissionen ist erst perspektivisch im Rahmen des Netto-Null-Ziels relevant.","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen. Die Darstellung entspricht dem aktuellen Umsetzungsstand. Ggf. können perspektivisch Projekte wie ""Tiny Forest"" (meist innerstädtische Aufforstungsprojekte) mit aufgenommen werden.","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
308,"E1-7","Entnahme von Treibhausgasen und Projekte zur Verringerung von Treibhausgasen, finanziert über CO2-Zertifikate","AR 58","AR 58f","Bei der Zusammenstellung der gemäß Absatz 56 Buchstabe a und Absatz 58 erforderlichen Informationen überdie Entnahme und die Speicherung von Treibhausgasen im Rahmen seiner eigenen Tätigkeiten und innerhalb seiner vor- und nachgelagerten Wertschöpfungskette geht das Unternehmen wie folgt vor:
Es verbucht die Treibhausgasemissionen im Zusammenhang mit einer Entnahmeaktivität einschließlich Transport und Speicherung gemäß Angabepflicht E1-6 (Scope 1, 2 oder 3). Um die Effizienz einer Abbauaktivität einschließlich Transport und Speicherung transparenter darzustellen, kann das Unternehmen die mit dieser Aktivität verbundenen Treibhausgasemissionen (z. B. Treibhausgasemissionen aus dem Stromverbrauch von Technologien zur direkten Abscheidung aus der Luft) neben der Menge der entnommenen Treibhausgasemissionen angeben, jedoch getrennt voneinander,","Details zur Buchung und Darstellung der Effizienz der Treibhausgasentnahmeaktivitäten einschließlich der verbundenen Emissionen.","Zusammenstellung der Treibhausgasentnahme und -speicherung","Wie werden Emissionen und Effizienz der CO2-Entnahmeaktivitäten ausgewiesen?","#1
Emission: 0 tCO₂e
--------------------
Entnahmeaktivität: Keine CO₂-Entnahmeaktivitäten vorhanden 
--------------------
Transport: Keine CO₂-Transportprozesse vorhanden 
--------------------
Speicherung: Keine CO₂-Speicherprozesse vorhanden ","","Da Fröbel weder biogene noch technologische CO₂-Entnahme- oder Speicherprojekte betreibt, entfallen sämtliche Detailangaben gemäß AR 58f und AR 58e","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen. Die Darstellung entspricht dem aktuellen Umsetzungsstand. ","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
310,"E1-7","Entnahme von Treibhausgasen und Projekte zur Verringerung von Treibhausgasen, finanziert über CO2-Zertifikate","58","58b","Die Angabe in Bezug auf die Entnahme und die Speicherung von Treibhausgasen gemäß Absatz 56 Buchstabe a umfasst gegebenenfalls Folgendes:
Die Annahmen, Methoden und Rahmen, die das Unternehmen bei der Berechnung verwendet hat.","Angaben über die Gesamtmenge der entnommenen und gespeicherten Treibhausgase, aufgeschlüsselt nach eigenen Tätigkeiten und der Wertschöpfungskette.","Angaben zur Entnahme und Speicherung von Treibhausgasen","Annahmen, Methoden und Rahmen bei der Berechnung der Entnahme und Speicherung der THG-Emissionen","Es wurden keine CO₂-Entnahme- oder Speicherprojekte betrieben. Daher sind keine Methoden, Rahmen oder Annahmen anzuwenden. Der Wert beträgt 0 t CO₂e.","","Fröbel betreibt weder innerhalb der eigenen Geschäftstätigkeit noch innerhalb der Wertschöpfungskette Projekte zur CO₂-Entnahme oder -Speicherung (z. B. Aufforstung, Bäume als Senkenprojekte, BECCS oder CCS-Technologien). Daher ergeben sich gemäß ESRS E1-58 keine bilanziellen CO₂-Entnahmemengen. Die Angaben nach 58a und 58b werden als ordnungsgemäße Nullmeldung ausgewiesen. Der Fokus der Klimastrategie liegt auf der realen Reduktion von Emissionen entlang der eigenen Betriebsaktivitäten; eine Kompensation unvermeidbarer Restemissionen ist erst perspektivisch im Rahmen des Netto-Null-Ziels relevant.","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen. Die Darstellung entspricht dem aktuellen Umsetzungsstand. Ggf. können perspektivisch Projekte wie ""Tiny Forest"" (meist innerstädtische Aufforstungsprojekte) mit aufgenommen werden.","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
311,"E1-7","Entnahme von Treibhausgasen und Projekte zur Verringerung von Treibhausgasen, finanziert über CO2-Zertifikate","AR 58","AR 58e","Bei der Zusammenstellung der gemäß Absatz 56 Buchstabe a und Absatz 58 erforderlichen Informationen über die Entnahme und die Speicherung von Treibhausgasen im Rahmen seiner eigenen Tätigkeiten und innerhalb seiner vor- und nachgelagerten Wertschöpfungskette geht das Unternehmen wie folgt vor:
Gegebenenfalls kennzeichnet es die Aktivitäten zur Entnahme von Treibhausgasen im eigenen Betrieb oder in der Wertschöpfungskette, die in CO2-Zertifikate umgewandelt und an andere Parteien auf dem freiwilligen Markt weiterverkauft wurden,","Details zur Buchung und Darstellung der Effizienz der Treibhausgasentnahmeaktivitäten einschließlich der verbundenen Emissionen.","Zusammenstellung der Treibhausgasentnahme und -speicherung","Kommt es innerhalb der Unternehmenstätigkeiten und der vor- und nachgelagerten Wertschöpfungskette zur Entnahme oder Speicherung von Treibhausgas-Emissionen, die als CO₂-Zertifikate weiterverkauft werden?","Kommt es innerhalb der Unternehmenstätigkeiten und der vor- und nachgelagerten Wertschöpfungskette zur Entnahme oder Speicherung von Treibhausgas-Emissionen, die als CO₂-Zertifikate weiterverkauft werden?: No","","Da Fröbel weder biogene noch technologische CO₂-Entnahme- oder Speicherprojekte betreibt, entfallen sämtliche Detailangaben gemäß AR 58f und AR 58e","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen. Die Darstellung entspricht dem aktuellen Umsetzungsstand. ","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
312,"E1-7","Entnahme von Treibhausgasen und Projekte zur Verringerung von Treibhausgasen, finanziert über CO2-Zertifikate","59","59a","Die Angabe in Bezug auf CO2-Zertifikate gemäß Absatz 56 Buchstabe b umfasst gegebenenfalls Folgendes:
Die Gesamtmenge der CO2-Zertifikate außerhalb der Wertschöpfungskette des Unternehmens in Tonnen CO2- Äquivalent, die nach anerkannten Qualitätsstandards überprüft und im Berichtszeitraum gelöscht wurden.","Informationen über die Gesamtmenge und geplante Löschung von CO2-Zertifikaten außerhalb der Wertschöpfungskette.","Angaben zu CO2-Zertifikaten außerhalb der Wertschöpfungskette","Wie viele CO2-Zertifikate außerhalb der Wertschöpfungskette wurden gelöscht?",0,"tCO₂e","Fröbel hat im Berichtsjahr weder CO₂-Zertifikate außerhalb der Wertschöpfungskette gelöscht noch vertraglich gebundene Zertifikatsmengen erworben. Es bestehen keine Löschungsverpflichtungen für zukünftige Berichtsjahre. Fröbel verfolgt eine Reduktionsstrategie vor Kompensation; der Einsatz externer Kompensationen kann perspektivisch im Rahmen des Netto-Null-Ziels für unvermeidbare Restemissionen geprüft werden.","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen. Die Darstellung entspricht dem aktuellen Umsetzungsstand und den Zielen der Nachhaltigkeitsstrategie.","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
313,"E1-7","Entnahme von Treibhausgasen und Projekte zur Verringerung von Treibhausgasen, finanziert über CO2-Zertifikate","59","59b","Die Angabe in Bezug auf CO2-Zertifikate gemäß Absatz 56 Buchstabe b umfasst gegebenenfalls Folgendes:
Die Gesamtmenge der CO2-Zertifikate außerhalb der Wertschöpfungskette des Unternehmens in Tonnen CO2- Äquivalent deren Löschung geplant ist, und ob sie auf bestehenden vertraglichen Vereinbarungen basieren.","Informationen über die Gesamtmenge und geplante Löschung von CO2-Zertifikaten außerhalb der Wertschöpfungskette.","Angaben zu CO2-Zertifikaten außerhalb der Wertschöpfungskette","Geplante Löschung von CO2-Zertifikate außerhalb der Wertschöpfungskette",0,"tCO₂e","Fröbel hat im Berichtsjahr weder CO₂-Zertifikate außerhalb der Wertschöpfungskette gelöscht noch vertraglich gebundene Zertifikatsmengen erworben. Es bestehen keine Löschungsverpflichtungen für zukünftige Berichtsjahre. Fröbel verfolgt eine Reduktionsstrategie vor Kompensation; der Einsatz externer Kompensationen kann perspektivisch im Rahmen des Netto-Null-Ziels für unvermeidbare Restemissionen geprüft werden.","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen. Die Darstellung entspricht dem aktuellen Umsetzungsstand und den Zielen der Nachhaltigkeitsstrategie.","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
315,"E1-7","Entnahme von Treibhausgasen und Projekte zur Verringerung von Treibhausgasen, finanziert über CO2-Zertifikate","AR 62","AR 62a","Bei der Angabe der nach Absatz 56 Buchstabe b und Absatz 59 erforderlichen Informationen über CO2- Gutschriften übermittelt das Unternehmen folgende Aufschlüsselung:
Anteil (prozentualer Anteil am Volumen) der Projekte zur Reduktion","Das Unternehmen übermittelt Informationen über die Herkunft, die Standards und die geografische Verteilung der CO2-Zertifikate, die zur Entnahme von CO2-Emissionen erworben oder genutzt wurden.","Angaben zu CO2-Zertifikaten: Herkunft, Standards und geografische Verteilung","Prozentualer Anteil am Volumen der Projekte zur Reduktion",0,"","Fröbel hat im Berichtszeitraum keine CO₂-Zertifikate erworben oder genutzt. Daher entfallen Angaben zu Herkunft, Standards, geografischer Verteilung und projektbezogenen prozentualen Anteilen gemäß AR 62.","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen. Die Darstellung entspricht dem aktuellen Umsetzungsstand. Es werden keine CO2 Zertifikate erworben oder gehandelt.","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
316,"E1-7","Entnahme von Treibhausgasen und Projekte zur Verringerung von Treibhausgasen, finanziert über CO2-Zertifikate","AR 62","AR 62a","Bei der Angabe der nach Absatz 56 Buchstabe b und Absatz 59 erforderlichen Informationen über CO2- Gutschriften übermittelt das Unternehmen folgende Aufschlüsselung:
Anteil (prozentualer Anteil am Volumen) der Projekte zur Entnahme von CO2-Emissionen,","Das Unternehmen übermittelt Informationen über die Herkunft, die Standards und die geografische Verteilung der CO2-Zertifikate, die zur Entnahme von CO2-Emissionen erworben oder genutzt wurden.","Angaben zu CO2-Zertifikaten: Herkunft, Standards und geografische Verteilung","Prozentualer Anteil am Volumen der Projekte zur Entnahme der CO2-Emissionen",0,"","Fröbel hat im Berichtszeitraum keine CO₂-Zertifikate erworben oder genutzt. Daher entfallen Angaben zu Herkunft, Standards, geografischer Verteilung und projektbezogenen prozentualen Anteilen gemäß AR 62.","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen. Die Darstellung entspricht dem aktuellen Umsetzungsstand. Es werden keine CO2 Zertifikate erworben oder gehandelt.","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
317,"E1-7","Entnahme von Treibhausgasen und Projekte zur Verringerung von Treibhausgasen, finanziert über CO2-Zertifikate","AR 62","AR 62b","Bei der Angabe der nach Absatz 56 Buchstabe b und Absatz 59 erforderlichen Informationen über CO2- Gutschriften übermittelt das Unternehmen folgende Aufschlüsselung:
Für CO2-Zertifikate aus Entnahmeprojekten eine Erläuterung, ob sie aus biogenen oder technologischen Senken stammen,","Das Unternehmen übermittelt Informationen über die Herkunft, die Standards und die geografische Verteilung der CO2-Zertifikate, die zur Entnahme von CO2-Emissionen erworben oder genutzt wurden.","Angaben zu CO2-Zertifikaten: Herkunft, Standards und geografische Verteilung","Handelt es sich hierbei um technologische oder biogene CO₂-Senken durch die Unternehmensaktivitäten in der vor- oder nachgelagterten wertschöpfungsketten?","No","","Fröbel hat im Berichtszeitraum keine CO₂-Zertifikate erworben oder genutzt. Daher entfallen Angaben zu Herkunft, Standards, geografischer Verteilung und projektbezogenen prozentualen Anteilen gemäß AR 62.","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen. Die Darstellung entspricht dem aktuellen Umsetzungsstand. Es werden keine CO2 Zertifikate erworben oder gehandelt.","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
318,"E1-7","Entnahme von Treibhausgasen und Projekte zur Verringerung von Treibhausgasen, finanziert über CO2-Zertifikate","AR 62","AR 62c","Bei der Angabe der nach Absatz 56 Buchstabe b und Absatz 59 erforderlichen Informationen über CO2- Gutschriften übermittelt das Unternehmen folgende Aufschlüsselung:
Anteil (prozentualer Anteil am Volumen) jedes anerkannten Qualitätsstandards,","Das Unternehmen übermittelt Informationen über die Herkunft, die Standards und die geografische Verteilung der CO2-Zertifikate, die zur Entnahme von CO2-Emissionen erworben oder genutzt wurden.","Angaben zu CO2-Zertifikaten: Herkunft, Standards und geografische Verteilung","Prozentualer Anteil am Volumen jedes anerkannten Qualitätsstandards",0,"","Fröbel hat im Berichtszeitraum keine CO₂-Zertifikate erworben oder genutzt. Daher entfallen Angaben zu Herkunft, Standards, geografischer Verteilung und projektbezogenen prozentualen Anteilen gemäß AR 62.","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen. Die Darstellung entspricht dem aktuellen Umsetzungsstand. Es werden keine CO2 Zertifikate erworben oder gehandelt.","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
319,"E1-7","Entnahme von Treibhausgasen und Projekte zur Verringerung von Treibhausgasen, finanziert über CO2-Zertifikate","AR 62","AR 62d","Bei der Angabe der nach Absatz 56 Buchstabe b und Absatz 59 erforderlichen Informationen über CO2- Gutschriften übermittelt das Unternehmen folgende Aufschlüsselung:
Anteil (prozentualer Anteil am Volumen) der Projekte innerhalb der EU","Das Unternehmen übermittelt Informationen über die Herkunft, die Standards und die geografische Verteilung der CO2-Zertifikate, die zur Entnahme von CO2-Emissionen erworben oder genutzt wurden.","Angaben zu CO2-Zertifikaten: Herkunft, Standards und geografische Verteilung","Prozentualer Anteil am Volumen der Projekte innerhalb der EU",0,"","Fröbel hat im Berichtszeitraum keine CO₂-Zertifikate erworben oder genutzt. Daher entfallen Angaben zu Herkunft, Standards, geografischer Verteilung und projektbezogenen prozentualen Anteilen gemäß AR 62.","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen. Die Darstellung entspricht dem aktuellen Umsetzungsstand. Es werden keine CO2 Zertifikate erworben oder gehandelt.","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
320,"E1-7","Entnahme von Treibhausgasen und Projekte zur Verringerung von Treibhausgasen, finanziert über CO2-Zertifikate","AR 62","AR 62e","Bei der Angabe der nach Absatz 56 Buchstabe b und Absatz 59 erforderlichen Informationen über CO2- Gutschriften übermittelt das Unternehmen folgende Aufschlüsselung:
Anteil (prozentualer Anteil am Volumen), der als entsprechende Anpassung gemäß Artikel 6 des Übereinkommens von Paris gilt.","Das Unternehmen übermittelt Informationen über die Herkunft, die Standards und die geografische Verteilung der CO2-Zertifikate, die zur Entnahme von CO2-Emissionen erworben oder genutzt wurden.","Angaben zu CO2-Zertifikaten: Herkunft, Standards und geografische Verteilung","Prozentualer Anteil am Volumen der entsprechende Anpassung gemäß des Übereinkommens von Paris",0,"","Fröbel hat im Berichtszeitraum keine CO₂-Zertifikate erworben oder genutzt. Daher entfallen Angaben zu Herkunft, Standards, geografischer Verteilung und projektbezogenen prozentualen Anteilen gemäß AR 62.","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen. Die Darstellung entspricht dem aktuellen Umsetzungsstand. Es werden keine CO2 Zertifikate erworben oder gehandelt.","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
325,"E1-7","Entnahme von Treibhausgasen und Projekte zur Verringerung von Treibhausgasen, finanziert über CO2-Zertifikate","61","61","Das Unternehmen hat anzugeben, ob es seine Treibhausgasneutralität im Zusammenhang mit der Verwendung von CO2-Gutschriften öffentlich geltend gemacht hat.","","Erklärung zur Treibhausgasneutralität","Hat das Unternehmen seine Treibhausgasneutralität im Zusammenhang mit der Verwendung von CO2- Gutschriften öffentlich geltend gemacht?","Hat das Unternehmen seine Treibhausgasneutralität im Zusammenhang mit der Verwendung von CO2- Gutschriften öffentlich geltend gemacht?: No","","","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen, da sie den aktuellen Stand und die Strategie abbilden und auf Grund der Nicht-Nutzung auch keine öffentliche Transparenz erfolgen kann.","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
